Title,Subtitle,Ingredients,Cooking tools,Instructions
Purple Sweet Potato Tarts,Prep+Cooking TIme: 1 hr  Yield: 9 inch tart,Filling: 4 medium purple sweet 1 tbsp vanilla 1 tsp lemon juice 2 tsp cinnamon 8 dates Crust: 1 ½ cups walnuts 1 ½ cups pecans 6 pitted medjool dates 1 tsp vanilla 1/4 salt (optional) Topping: 2 cups of mixed berries ,9 inch tart or pie pan Food Processor ,PREPARE CRUST Combine crust ingredients in a food processor. Process to a course crumb. Press into pie pan. PREPARE FILLING Combine ingredients in a food processor. Process until smooth. Add filling over top of crust and smooth. Refrigerate for 30 minutes. TOP AND SERVE Top with fresh berries. Serve and enjoy! 
Sweet Potato Tarts,Prep+Cooking TIme: 1 hour Yield: 1 9 inch tart,Filling: 4 medium sweet potatoes 1 tbsp vanilla 1 tsp lemon juice 2 tsp cinnamon 8 dates Crust: 1 ½ cups walnuts 1 ½ cups pecans 6 pitted medjool dates 1 tsp vanilla 1/4 salt (optional) Topping 1 small mango 1 pint raspberries ,9 inch tart or pie pan Food Processor ,PREPARE CRUST Combine crust ingredients in a food processor. Process to a course crumb. Press into the tart pan. PREPARE FILLING Combine ingredients in a food processor. Process until smooth. Add filling over top of crust and smooth. Refrigerate for 30 minutes. TOP AND SERVE Top with mango and raspberries. Serve and enjoy! 
Chocolate Raspberry Nice-cream,Prep+Cooking time: 10  minutes Servings: 2,"3 frozen bananas ½ cup frozen or fresh raspberries 1 ½  tbsp cocoa powder 1 tsp vanilla extract JUICE AND SERVE Allow frozen fruit to thaw for 10 minutes. Toss bananas with cocoa and vanilla. Process all the ingredients, except for the raspberries through the Kuvings Revo830 using the sorbet attachment. Add raspberries and mix.  Enjoy! Mushroom Bacon Sushi ",-1,-1
Mushroom Bacon Sushi,Prep+Cooking time: 10  minutes Servings: 4,"Quinoa: 4 cups of cooked quinoa 1 tbsp apple cider vinegar 1 tbsp date syrup 1 tbsp tahini Fillings: Vegan bacon 1 avocado 1 large mango Optional to make your own: HV Mushroom Bacon Instructions: Combine tahini, date syrup, and apple cider vinegar in a bowl and mix. Ad mixture to well cooked quinoa. Place a nori sheet on your sushi mat glossy side down. Make sure your nori is lined up with the edge of the mat. Evenly spread some quinoa mixture to cover your nori sheet, leaving a 1.5- edge uncovered. Line your ingredients up in the center of the quinoa layer (as shown in video)  Carefully lift the edge of your sushi mat and begin to guide it over and around your filling, bring the edge of the mat down to meet the edge of your quinoa and gently pull back to tighten your roll.  Lift the sushi mat and lay flat. Dampen the edge of your nori sheet with some water and roll to seal your sushi roll Using a sharp knife, cut your sushi roll into desired thickness.  Drizzle with some spicy mayo and/or pesto mayo, and garnish with black sesame seeds. Dip in coconut aminos as desired. Enjoy! Mixed Veggie and Tofu Sushi RECIPE: 4 nori sheets Quinoa: 4 cups of cooked quinoa 1 tbsp apple cider vinegar 1 tbsp date syrup 1 tbsp tahini Fillings: avocado mango carrots peppers microgreens HV mushroom bacon  https://youtu.be/NMYt2D-woxo avocado mango Instructions: ",-1,"Combine tahini, date syrup, and apple cider vinegar in a bowl and mix. Add mixture to well cooked quinoa. Place a nori sheet on your sushi mat glossy side down. Make sure your nori is lined up with the edge of the mat. Evenly spread some quinoa mixture to cover your nori sheet, leaving a 1.5- edge uncovered. Line your ingredients up in the center of the quinoa layer (as shown in video)  Carefully lift the edge of your sushi mat and begin to guide it over and around your filling, bring the edge of the mat down to meet the edge of your quinoa and gently pull back to tighten your roll.  Lift the sushi mat and lay flat. Dampen the edge of your nori sheet with some water and roll to seal your sushi roll Using a sharp knife, cut your sushi roll into desired thickness.  Drizzle with some spicy mayo and/or pesto mayo, and garnish with black sesame seeds. Dip in coconut aminos as desired. Enjoy! "
Raspberry -Chocolate Cream Tart,Prep+Cooking TIme: 1 hour Yield: 1 9 inch tart,Crust: 3 cups nuts 7 pitted medjool dates 3 tbsp cocoa powder 1 tsp vanilla 1/4 salt (optional) Filling: 1 ½ cup raw cashews (soaked for min. 2 hours) 1 1/2 cups frozen raspberries 1 cup plant milk 3 tsp vanilla 1 tbsp psyllium husk powder 10 medjool dates 2 tbsp pomegranate powder ( Optional for color) TOPPING 1 pint fresh raspberries ½ cup melted chocolate (optional for garnish) ,Food Processor High-speed blender 9 inch tart pan ,"PREPARE THE CRUST Add all of the crust ingredients to a food processor and process to a course crumb. Compactly press the filling mixture into a tart pan. PREPARE THE FILLING Blend all the filling ingredients in a highspeed blender until smooth. Add the psyllium husk powder and blend to combine. Quickley transfer filling to pie crust and smooth the top. FREEZE AND SERVE Freeze for minimum 4 hours. For cleaner slices, cut before the tart is thawed completely. Enjoy! "
Tomato-Pesto Galette,Prep+Cooking TIme: 1 ½  hours Servings: 2,"Crust: 1 ¼ cup fine almond flour ⅓ cup arrowroot powder 2 tbsp ground flax 5 tbsp water 1/4 tsp salt or to taste Filling: ½ cup no sodium vegetable broth ½ yellow onion sliced 2 cloves garlic minced 2 pints cherry  tomatoes 1 tbsp miso paste ½ tsp salt ½ tsp smoked Paprika ¼ cup kalamata olives Hummus: 1 chickpeas 3 tbsp tahini 1 clove garlic ½ lemon Water to consistency ½ tsp salt Pesto: 4 oz fresh basil 1 avocado ¼ cup pistachio, pine nuts, pumpkin seeds or raw cashews 2 cloves garlic 4 tbsp nutritional yeast 1 tsp salt or to taste ½ lemon juiced  Water to consistency Topping: Cheese Sauce Fresh Basil ",Food processor Baking Sheet ,"PREPARE THE CRUST Mix ground flax and water and set aside. Combine almond flour, arrowroot, and salt together in a bowl.  Add the flax mixture and mix with a spoon until it begins to come together. Use your hands to bring it all together to form a ball of dough.  Cover in a bowl with a damp towel. PREPARE THE HUMMUS Combine the hummus ingredients in the food processor and blend until smooth. PREPARE THE FILLING Heat the broth on medium heat until it begins to simmer, add onions and garlic and simmer until they begin to soften. Add extra broth as needed if they start to stick. Add the remaining filling ingredients and mix to combine about 3 minutes ASSEMBLE AND BAKE Roll out pie dough until approximately ⅛ inch thick. Add hummus to the center of the rolled pie crust, leaving about 3 inches to fold up the sides of your galette. Top the hummus with your filling mixture. Carefully fold pie crust up over the sides of the filling as shown in the video.  Bake at 350 F for 30 minutes. PREPARE PESTO Combine all the pesto ingredients in a food processor and blend until smooth. FINISH AND SERVE Remove the galette from the oven and top with pesto sauce, cheese sauce and kalamata olives and fresh basil. Cut and enjoy! "
Butternut Squash Samosas w/Tamarind Chutney,Prep+Cooking TIme: 1 ½  hours  Yields: 8 samosas,Filling: 1 medium butternut squash ½ cup peas 1 tsp cumin seeds 1 tsp coriander seeds 1/2 tsp turmeric 1 tsp garam masala 1 tsp ground fennel 1  tsp cumin powder 2 tsp ground coriander ⅛ tsp cayenne or ½ tsp red chili powder  1/2 tsp ginger powder 1 clove garlic 1 tsp salt or to your taste 1 tbsp lemon juice Crust: 2 ½ cups fine almond flour 2/3 cup arrowroot powder 4 tbsp ground flax  ½ cup + 2 tbsp water 1 tsp salt or to taste Tamarind chutney: ½ a cup tamarind pulp ½ a cup date paste ¼ tsp ground cumin ¼ tsp ground coriander ¼ tsp ground fennel Water to thin as needed ,Rolling Pin Parchment Paper Baking Sheet ,"PREPARE FILLING Peel and dice butternut squash. Steam until just soft Add cumin and coriander to a dry pan and roast lightly on medium heat. Add a 2-4 tbsp of water and all the other spices. Mix until combined. Add peas and stir. Add cooked squash and stir. Allow for the squash to mash slightly, still keeping whole pieces. PREPARE PIE CRUST Mix ground flax and water and set aside. Combine almond flour, arrowroot and salt together in a bowl. Add flax mixture and mix with spoon until it begins to come together. Use your hands to bring it all together to form a ball of dough. Divide into 4 equal balls. Roll into a circle between two pieces of parchment paper. You may use a round bowl to trim edges. Cut the circle in half. Carefully pick up a semi circle and form into a cone shape. Pressing to seal the seam. Add filling, taking care to not over stuff. Seal the top edge. Repeat for the rest of your samosas. Bake in a preheated oven at 400 for 20 minutes, or until light golden brown. PREPARE THE CHUTNEY Soak a 3 inch piece of tamarind in 1 cup of boiling hot water. Allow to sit and soften for 10-15 minutes. Transfer tamarind and water to a mesh strainer and using a spoon push the pulp through into a bowl. Transfer pulp to a saucepan. Add date paste and seasoning. You may add some water if your chutney is too thick. Bring to a simmer for 2-3 minutes. Remove from heat "
Millet Buns,Prep+Cooking TIme: 1 hr 15 mins  Yeilds: 6 buns ,2 ½ cups millet flour  2 tsp baking powder  ¾ tsp fine sea salt  ½ tsp baking soda  2 tbsp ground flax  2 ½  cups water  1 tbsp apple cider vinegar  1/3 cup whole psyllium husks  2 tbsp date syrup (optional)  Sesame seeds for topping (optional) ,Baking sheet or bun form pan Parchment paper Mixing bowls ,"In a bowl combine all the dry ingredients, except for the psyllium husks. In a separate bowl combine the wet ingredients and the psyllium husks. Let rest for 5 minutes until a gel like consistency is achieved. Combine the wet and dry ingredients. Wet your hands and add 1/6 of the dough to each section of a bun pan, or form into buns on a parchment-lined baking sheet. Bake in a preheated oven at 325 F for 50-60 minutes. Remove and allow to cool before cutting. Enjoy! "
Millet Loaf Bread,Prep+Cooking TIme: 1 hr 15 mins  Yields: 1 loaf,2 ½ cups millet flour  2 ½ tsp baking powder  ½ tsp baking soda  2 tbsp ground flax or chia  ¾ tsp salt ( reduce or eliminate to preference )  2 and 1/2 cups water  1 tbsp apple cider vinegar  1/3 cup whole psyllium husks  2-3 tbsp date syrup (optional)  Sesame seeds for topping (optional) ,Mixing Bowls Large Loaf Pan ,"In a bowl combine the dry ingredients, except for the psyllium husks. In a separate bowl combine the wet ingredients and the psyllium husks. Let rest for 5 minutes until a gel like consistency is achieved.  Combine the wet and dry ingredients. Wet your hands and add dough to a loaf pan and smooth any cracks by rubbing with a little water.  Bake in a preheated oven at 325 F for 50-60 minutes. Remove and allow to cool completely before cutting. Enjoy!  Note: If the loaf is at all gummy it means it wasn't cooked long enough. "
Veggie Sausage Ground,Prep+Cooking TIme: 45 mins  Yields: 6 cups,16 oz white mushrooms  1 small yellow onion  1 cup walnuts  3 tbsp tomato paste  Seasoning:  3 tbsp coconut aminos  1 1/4 tsp garlic granules  3 tbsp dried sage  1 1/2 tsp dried thyme  1/4 tsp ground nutmeg  2 tbsp ground fennel  1/2-3/4 tsp chili flakes  1/2 tsp black pepper  1 1/2 tsp salt or to your taste * For nut free version you may use sunflower or pumpkin seeds. ** For mushroom free use the equivalent in jackfruit and process it into smaller pieces. ,Knife Food Processor or Grater Large Skillet or Saute Pan COOKING TIPS (Generated by you guys?) ,"CHOP IT UP! Roughly chop vegetables to fit them in your food processor. Coarsely chop all cauliflower, onions, and mushrooms. Mushrooms can be made even coarser for a more meaty texture (This will need to be done in batches). Coarsely chop walnuts. COOK IT UP! Add 1 tbsp of water or sodium-free, oil-free vegetable broth to a heated pan. Add cauliflower, onions, and mushrooms and continue to cook on high until all the water releases and begins to evaporate  (10-15 minutes). When most of the water has cooked out add seasoning and coconut aminos. Cook on high for another 10 minutes, until all the water fully evaporates. Turn off the heat and add the chopped walnuts and tomato paste. Mix thoroughly to combine. Add to your dish of choice. Enjoy! Storage: Keeps well in the fridge for up to 5 days or in the freezer for up to 3 months. "
Veggie Sausage Pasta,Prep+Cooking TIme: 45 mins  Servings: 2,"½ cup oil-free, salt-free veggie broth 5 small tomatoes diced 3 gloves of garlic minced ½ cup salt-free veggie broth 1 shallot ½ pint cherry tomatoes 4 tbsp fresh basil 2 cups veggie sausage ground Optional: 5 tbsp tomato paste ",Wok or Pot INTRUCTIONS  ,"Add veggie broth to pan on medium heat. Add minced garlic and shallots. Saute until shallots are softened. Add diced tomatoes and salt. Simmer until tomatoes soften. Add cooked pasta, and cherry tomatoes. Allow to simmer. Add a little broth at a time as necessary during the cooking process. Once cherry tomatoes have softened add your veggie sausage ground and fresh basil. Mix to combine. Serve and enjoy! "
Vegan Breakfast Sausage Patties,Prep+Cooking TIme: 30  mins  Servings: 1,2 tbsp psyllium husk powder  2 tbsp arrowroot powder  2 tbsp chickpea flour  2 tsp dried sage  1 tsp fennel  1/2 tsp thyme  1/2 tsp garlic granules  salt to taste  ,Baking Sheet Parchment Paper ,Combine all ingredients in a bowl and mix well. Form into patties. Bake at 350 F for 20 minutes. Enjoy! 
Sweet Potato Curry Soup,Prep+Cooking TIme: 1 hr  mins  Servings: 1,1 small yellow onion 1 ½ cups of no-salt veggie broth 1 tsp curry powder ½-1 inch turmeric root ½ inch ginger root 1 clove garlic ¾ tsp salt or to taste Optional: \ roasted chickpeas microgreens ,Baking Sheet Parchment Paper Blender ,Bake sweet potato and onion at 400F for 30-45 minutes. Remove onion sooner if it’s getting to browned.  Combine all your ingredients in a blender. Blend until smooth. Optionally garnish with roasted chickpeas and microgreens. 
Cucumber-Kiwi Gazpacho,Prep+Cooking TIme: 15  mins  Servings: 1,1 large yellow tomato 1 english cucumber 7 kiwis 1 avocado ¼ fresh dill + 1 tbsp 2 cloves garlic ½ lime juiced 1 jalapeno pepper 1 tsp salt or to your taste ,Blender ,"Add all of the ingredients to a blender except for 1 kiwi, a 2 inch piece of cucumber, and 1 tbsp of dill and blend until smooth. Dice 1 kiwi, 2 inch pieces of cucumber and add to a bowl. Mix in 1 tbsp of chopped fresh dill.  Transfer the gazpacho to a bowl and top with diced kiwi and cucumber mixture. Enjoy! "
Roasted Yellow Pepper & Garlic Gazpacho,Prep+Cooking TIme: 1 hr  mins  Servings: 1,2 yellow peppers 2 large yellow tomatoes 1 yellow summer squash cut in half 1 medium carrot ½ yellow onion 1 bulb garlic 2 cups fresh basil ½ of a lemon juiced 1 tsp salt or to your taste Optional Garnish: Roasted Chickpeas Microgreens ,Baking Sheet Parchment Paper Blender ,ROAST VEGGIES Place all of your veggies on a parchment lined baking sheet. Tightly wrap garlic bulb in a parchment paper. Roast at 275 F for 30-35 minutes or until veggies are soft. The garlic bulb will need an extra 10-15 minutes. BLEND AND SERVE Add all of your cooked ingredients to a blender. Blend until smooth. Transfer to a bowl and garnish with microgreens and roasted chickpeas. Enjoy! 
Rustic Roasted Garlic & Rosemary Loaf,Prep+Cooking TIme: 1 hr 15 mins  Yields: 1 loaf,"2 ½ cups millet flour 2 tbsp ground flax 2 tsp baking powder ½ tsp baking soda  ½ tsp salt 1 tsp dried oregano 1 tbsp fresh rosemary 1 ½ cups sundried tomatoes (soaked if dry bagged) WET INGREDIENTS 2 ½ cups water 3 tbsp date syrup, date paste, or date sugar 1 tbsp apple cider vinegar ⅓ cup + 2 tbsp WHOLE psyllium husks (not powder) 1 bulb of roasted garlic ",Mixing Bowls Baking Sheet Parchment Paper ,"Dice sundried tomatoes. In a bowl combine the dry ingredients, except for the psyllium husks. Mix to combine. Chop and add sundried tomatoes and mix. In a separate bowl combine the wet ingredients and the psyllium husks. Let rest for 5 minutes until a gel-like consistency is achieved.  Combine the wet and dry ingredients and mix.  Wet your hands and add dough to the lined baking sheet. Shape as desired and smooth any cracks by rubbing with a little water.  Bake in a preheated oven at 325 F for 50-60 minutes. Remove and allow to cool completely before cutting. Enjoy!  Note: If the loaf is at all gummy it means it wasn't cooked long enough or that it was cut before cooling. "
